match_id,match_date,competition,competition_stage,home_team,away_team,home_score,away_score,home_odds,draw_odds,away_odds,num_bets_home,num_bets_draw,num_bets_away,odds_source,bookmaker,snapshot_type,source_match_url,official_result_url
2025-11-16_italy_norway,2025-11-16,FIFA World Cup qualification,Qualifiers,Italy,Norway,1.0,4.0,2.14,3.53,3.19,,,,oddsportal,average,average,https://www.oddsportal.com,https://www.fifa.com/en/match-centre
2025-11-16_italy_norway,2025-11-16,FIFA World Cup qualification,Qualifiers,Italy,Norway,1.0,4.0,2.22,3.7,3.33,,,,oddsportal,max,max,https://www.oddsportal.com,https://www.fifa.com/en/match-centre
2025-11-16_nigeria_dr_congo,2025-11-16,FIFA World Cup qualification,Qualifiers,Nigeria,DR Congo,1.0,1.0,2.03,2.77,4.35,,,,oddsportal,average,average,https://www.oddsportal.com,https://www.fifa.com/en/match-centre
2025-11-16_nigeria_dr_congo,2025-11-16,FIFA World Cup qualification,Qualifiers,Nigeria,DR Congo,1.0,1.0,2.15,3.0,5.0,,,,oddsportal,max,max,https://www.oddsportal.com,https://www.fifa.com/en/match-centre
2025-11-16_portugal_armenia,2025-11-16,FIFA World Cup qualification,Qualifiers,Portugal,Armenia,9.0,1.0,1.03,16.11,47.28,,,,oddsportal,average,average,https://www.oddsportal.com,https://www.fifa.com/en/match-centre
2025-11-16_portugal_armenia,2025-11-16,FIFA World Cup qualification,Qualifiers,Portugal,Armenia,9.0,1.0,1.04,21.0,67.0,,,,oddsportal,max,max,https://www.oddsportal.com,https://www.fifa.com/en/match-centre
2025-11-16_serbia_latvia,2025-11-16,FIFA World Cup qualification,Qualifiers,Serbia,Latvia,2.0,1.0,1.14,7.69,19.22,,,,oddsportal,average,average,https://www.oddsportal.com,https://www.fifa.com/en/match-centre
2025-11-16_serbia_latvia,2025-11-16,FIFA World Cup qualification,Qualifiers,Serbia,Latvia,2.0,1.0,1.16,8.5,27.0,,,,oddsportal,max,max,https://www.oddsportal.com,https://www.fifa.com/en/match-centre
2025-11-16_ukraine_iceland,2025-11-16,FIFA World Cup qualification,Qualifiers,Ukraine,Iceland,2.0,0.0,1.95,3.5,3.7,,,,oddsportal,average,average,https://www.oddsportal.com,https://www.fifa.com/en/match-centre
2025-11-16_ukraine_iceland,2025-11-16,FIFA World Cup qualification,Qualifiers,Ukraine,Iceland,2.0,0.0,2.0,3.6,4.0,,,,oddsportal,max,max,https://www.oddsportal.com,https://www.fifa.com/en/match-centre
2025-11-15_bosnia_and_herzegovina_romania,2025-11-15,FIFA World Cup qualification,Qualifiers,Bosnia and Herzegovina,Romania,3.0,1.0,2.53,3.23,2.76,,,,oddsportal,average,average,https://www.oddsportal.com,https://www.fifa.com/en/match-centre
2025-11-15_bosnia_and_herzegovina_romania,2025-11-15,FIFA World Cup qualification,Qualifiers,Bosnia and Herzegovina,Romania,3.0,1.0,2.6,3.35,2.8,,,,oddsportal,max,max,https://www.oddsportal.com,https://www.fifa.com/en/match-centre
2025-11-15_cyprus_austria,2025-11-15,FIFA World Cup qualification,Qualifiers,Cyprus,Austria,0.0,2.0,9.56,5.7,1.28,,,,oddsportal,average,average,https://www.oddsportal.com,https://www.fifa.com/en/match-centre
2025-11-15_cyprus_austria,2025-11-15,FIFA World Cup qualification,Qualifiers,Cyprus,Austria,0.0,2.0,11.5,6.0,1.33,,,,oddsportal,max,max,https://www.oddsportal.com,https://www.fifa.com/en/match-centre
2025-11-15_denmark_belarus,2025-11-15,FIFA World Cup qualification,Qualifiers,Denmark,Belarus,2.0,2.0,1.05,12.47,30.89,,,,oddsportal,average,average,https://www.oddsportal.com,https://www.fifa.com/en/match-centre
2025-11-15_denmark_belarus,2025-11-15,FIFA World Cup qualification,Qualifiers,Denmark,Belarus,2.0,2.0,1.07,15.0,46.0,,,,oddsportal,max,max,https://www.oddsportal.com,https://www.fifa.com/en/match-centre
2025-11-15_georgia_spain,2025-11-15,FIFA World Cup qualification,Qualifiers,Georgia,Spain,0.0,4.0,11.49,6.14,1.23,,,,oddsportal,average,average,https://www.oddsportal.com,https://www.fifa.com/en/match-centre
2025-11-15_georgia_spain,2025-11-15,FIFA World Cup qualification,Qualifiers,Georgia,Spain,0.0,4.0,13.0,6.75,1.25,,,,oddsportal,max,max,https://www.oddsportal.com,https://www.fifa.com/en/match-centre
2025-11-15_greece_scotland,2025-11-15,FIFA World Cup qualification,Qualifiers,Greece,Scotland,3.0,2.0,2.2,3.18,3.35,,,,oddsportal,average,average,https://www.oddsportal.com,https://www.fifa.com/en/match-centre
2025-11-15_greece_scotland,2025-11-15,FIFA World Cup qualification,Qualifiers,Greece,Scotland,3.0,2.0,2.28,3.3,3.45,,,,oddsportal,max,max,https://www.oddsportal.com,https://www.fifa.com/en/match-centre
2025-11-15_kazakhstan_belgium,2025-11-15,FIFA World Cup qualification,Qualifiers,Kazakhstan,Belgium,1.0,1.0,16.81,7.51,1.15,,,,oddsportal,average,average,https://www.oddsportal.com,https://www.fifa.com/en/match-centre
2025-11-15_kazakhstan_belgium,2025-11-15,FIFA World Cup qualification,Qualifiers,Kazakhstan,Belgium,1.0,1.0,19.0,8.25,1.17,,,,oddsportal,max,max,https://www.oddsportal.com,https://www.fifa.com/en/match-centre
2025-11-15_liechtenstein_wales,2025-11-15,FIFA World Cup qualification,Qualifiers,Liechtenstein,Wales,0.0,1.0,58.41,17.85,1.02,,,,oddsportal,average,average,https://www.oddsportal.com,https://www.fifa.com/en/match-centre
2025-11-15_liechtenstein_wales,2025-11-15,FIFA World Cup qualification,Qualifiers,Liechtenstein,Wales,0.0,1.0,81.0,26.0,1.03,,,,oddsportal,max,max,https://www.oddsportal.com,https://www.fifa.com/en/match-centre
2025-11-15_slovenia_kosovo,2025-11-15,FIFA World Cup qualification,Qualifiers,Slovenia,Kosovo,0.0,2.0,2.43,2.96,3.15,,,,oddsportal,average,average,https://www.oddsportal.com,https://www.fifa.com/en/match-centre
2025-11-15_slovenia_kosovo,2025-11-15,FIFA World Cup qualification,Qualifiers,Slovenia,Kosovo,0.0,2.0,2.55,3.0,3.3,,,,oddsportal,max,max,https://www.oddsportal.com,https://www.fifa.com/en/match-centre
