date,home_team,away_team,country,neutral,home_confederation,away_confederation,host_confederation,is_home_country,is_away_country,is_home_confed,is_away_confed
1983-03-06,Japan,South Korea,Japan,False,AFC,AFC,AFC,True,False,True,True
1983-03-07,Bulgaria,Switzerland,Bulgaria,False,UEFA,UEFA,UEFA,True,False,True,True
1983-03-08,Barbados,Suriname,Barbados,False,CONCACAF,CONCACAF,CONCACAF,True,False,True,True
1983-03-09,Senegal,Morocco,Senegal,False,CAF,CAF,CAF,True,False,True,True
1983-03-09,Romania,Turkey,Romania,False,UEFA,UEFA,UEFA,True,False,True,True
1983-03-10,Senegal,Morocco,Senegal,False,CAF,CAF,CAF,True,False,True,True
1983-03-15,Costa Rica,Mexico,Costa Rica,False,CONCACAF,CONCACAF,CONCACAF,True,False,True,True
1983-03-16,German DR,Finland,German DR,False,UEFA,UEFA,UEFA,True,False,True,True
1983-03-17,Gabon,Congo,Gabon,False,CAF,CAF,CAF,True,False,True,True
1983-03-20,Benin,Congo,Benin,False,CAF,CAF,CAF,True,False,True,True
1983-03-20,Ethiopia,Kenya,Ethiopia,False,CAF,CAF,CAF,True,False,True,True
1983-03-22,Ethiopia,Kenya,Ethiopia,False,CAF,CAF,CAF,True,False,True,True
1983-03-22,Mexico,Costa Rica,Mexico,False,CONCACAF,CONCACAF,CONCACAF,True,False,True,True
1983-03-23,Poland,Bulgaria,Poland,False,UEFA,UEFA,UEFA,True,False,True,True
1983-03-23,France,Russia,France,False,UEFA,UEFA,UEFA,True,False,True,True
1983-03-23,Tunisia,Morocco,Tunisia,False,CAF,CAF,CAF,True,False,True,True
1983-03-24,Togo,Congo,Togo,False,CAF,CAF,CAF,True,False,True,True
1983-03-27,Cyprus,Czechoslovakia,Cyprus,False,UEFA,UEFA,UEFA,True,False,True,True
1983-03-27,Ethiopia,Djibouti,Ethiopia,False,CAF,CAF,CAF,True,False,True,True
1983-03-27,Luxembourg,Hungary,Luxembourg,False,UEFA,UEFA,UEFA,True,False,True,True
1983-03-29,Ethiopia,Djibouti,Ethiopia,False,CAF,CAF,CAF,True,False,True,True
1983-03-30,Albania,Germany,Albania,False,UEFA,UEFA,UEFA,True,False,True,True
1983-03-30,Benin,Togo,Benin,False,CAF,CAF,CAF,True,False,True,True
1983-03-30,England,Greece,England,False,UEFA,UEFA,UEFA,True,False,True,True
